Brand,Name,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life,Name_Clean,RAM_GB,RAM_Expandable_GB,Display_Size,SSD_GB,HDD_GB,Storage_GB,Adapter_W,GPU_VRAM_GB,CPU_Tier,CPU_Gen,Battery_Hours,Battery_Imputed,Price_Bin,Has_Dedicated_GPU,CPU_Score,GPU_Score,Portability_Score,RAM_Score,Storage_Score,Programming_Score,AI_Development_Score,Gaming_Score,Video_Editing_Score,Budget_Score,Battery_Score,Office_Student_Score,Overall_Rating
HP,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |)::585119::computer::laptops,79086,MediaTek Octa-core,Mediatek,Not Expandable,4 GB ,DDR4 RAM,2.0,LED,11.6 ,Integrated Graphics,ARM,64 GB SSD Storage,No HDD,45, Upto 12 Hrs Battery Life,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |),4,0,11.6,64,0,64,45.0,0,Budget,Standard,12.0,0,Budget,0,12.5,12.0,100.0,12.5,6.2,11.2,12.3,12.1,9.2,82.8,80.0,86.8,44.5
Lenovo,Lenovo Ideapad Slim 3 (82KU017KIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::594497::computer::laptops,124834,AMD Hexa-Core Ryzen 5,Amd, 12 GB Expandable,8 GB ,DDR4 RAM,4.0,LCD,15.6 ,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 11 Hrs Battery Life,Lenovo Ideapad Slim 3 (82KU017KIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),8,12,15.6,512,0,512,65.0,0,Mid Range,Modern Series,11.0,0,Budget,0,62.5,22.0,36.8,25.0,50.0,45.0,31.2,34.2,34.7,72.8,73.3,62.2,47.7
Dell,Dell G15-5520 (D560822WIN9B) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::595299::computer::laptops,270040,Intel Core i5 (12th Gen),Intel, 32 GB Expandable,16 GB ,DDR5 RAM,3.3,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,56, Upto 10 Hrs Battery Life,Dell G15-5520 (D560822WIN9B) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD),16,32,15.6,512,0,512,56.0,4,Mid Range,12th Gen,10.0,0,High,1,59.0,50.0,36.8,50.0,50.0,53.6,51.8,52.7,52.0,41.1,66.7,50.1,50.3
HP,HP 15s-fy5007TU (91R03PA) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::616095::computer::laptops,190886,Intel Core i5 (12th Gen),Intel, 8 GB Expandable,8 GB ,DDR4 RAM,4.2,LCD,15.6 ,Iris Xe,Intel,512 GB SSD Storage,No HDD,no,Upto 7.30 Hrs Battery Life,HP 15s-fy5007TU (91R03PA) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD),8,8,15.6,512,0,512,65.0,0,Mid Range,12th Gen,7.5,0,Mid,0,63.5,25.0,36.8,25.0,50.0,45.4,32.7,36.6,35.7,58.4,50.0,48.6,45.8
Infinix,Infinix Inbook Y2 Plus XL29 Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::615700::computer::laptops,75646,Intel Core i3 (11th Gen),Intel,Not Expandable,8 GB LP,LPDDR4X RAM,1.7,LCD,15.6 ,UHD,Intel,512 GB SSD Storage,No HDD,45, Upto 8 Hrs Battery Life,Infinix Inbook Y2 Plus XL29 Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),8,0,15.6,512,0,512,45.0,0,Entry Level,11th Gen,8.0,0,Budget,0,31.0,12.0,36.8,25.0,50.0,32.4,20.4,17.7,31.2,83.5,53.3,57.4,34.9
Acer,Acer One 14 Z8-415 (UN.599SI.020) Laptop (14 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::616145::computer::laptops,120366,Intel Core i5 (11th Gen) Processor,Intel, 32 GB Expandable,16 GB ,DDR4 RAM,0.0,LCD,14 ,Iris Xe,Intel,512 GB SSD Storage,No HDD,45,45W Adapter,Acer One 14 Z8-415 (UN.599SI.020) Laptop (14 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),16,32,14.0,512,0,512,45.0,0,Mid Range,11th Gen,7.0,1,Budget,0,55.0,25.0,62.1,50.0,50.0,52.0,35.0,34.0,39.4,73.8,46.7,59.4,52.2
HP,HP 14s-fq1092AU (50M60PA) Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::594309::computer::laptops,170621,AMD Hexa-Core Ryzen 5,Amd, 16 GB Expandable,8 GB ,DDR4 RAM,4.0,LCD,14 ,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 9 Hrs Battery Life,HP 14s-fq1092AU (50M60PA) Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),8,16,14.0,512,0,512,65.0,0,Mid Range,Modern Series,9.0,0,Mid,0,62.5,22.0,62.1,25.0,50.0,45.0,31.2,34.2,30.9,62.8,60.0,61.5,52.6
Acer,Acer One 14 Z8-415 (UN.599SI.018) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::616155::computer::laptops,137566,Intel Core i5 (11th Gen),Intel, 32 GB Expandable,8 GB ,DDR4 RAM,2.5,LCD,14 ,Iris Xe,Intel,512 GB SSD Storage,No HDD,45,45W Adapter,Acer One 14 Z8-415 (UN.599SI.018) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),8,32,14.0,512,0,512,45.0,0,Mid Range,11th Gen,8.5,1,Mid,0,55.0,25.0,62.1,25.0,50.0,42.0,31.0,34.0,31.9,70.0,56.7,62.3,50.8
Lenovo,Lenovo Ideapad S145 (81VD008PIN) Laptop (15.6 Inch | Core i3 8th Gen | 4 GB | DOS | 1 TB HDD)::579826::computer::laptops,113902,Intel Core i3 (8th Gen),Intel, 12 GB Expandable,4 GB ,DDR4 RAM,2.2,LED,15.6 ,UHD 620,Intel,NO SSD,1024 GB HDD Storage,45,45W Adapter,Lenovo Ideapad S145 (81VD008PIN) Laptop (15.6 Inch | Core i3 8th Gen | 4 GB | DOS | 1 TB HDD),4,12,15.6,0,1024,1024,45.0,0,Entry Level,8th Gen,6.0,1,Budget,0,33.5,12.0,36.8,12.5,20.0,22.4,16.5,18.4,21.4,75.2,40.0,49.6,31.9
ASUS,ASUS TUF Gaming F15 FX506HF-HN075W Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::613032::computer::laptops,168526,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB ,DDR4 RAM,2.9,LCD,15.6 ,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,150,150W Adapter,ASUS TUF Gaming F15 FX506HF-HN075W Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),8,0,15.6,512,0,512,150.0,4,Mid Range,11th Gen,6.0,1,Mid,1,57.0,48.0,36.8,25.0,50.0,42.8,41.8,50.7,43.8,63.3,40.0,46.0,46.6
Lenovo,Lenovo LOQ 15APH8 (82XT004JIN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::612854::computer::laptops,319886,AMD Octa-Core Ryzen 7,Amd, 16 GB Expandable,16 GB ,DDR5 RAM,3.4,LCD,15.6 ,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,170, Upto 9.5 Hrs Battery Life,Lenovo LOQ 15APH8 (82XT004JIN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD),16,16,15.6,512,0,512,170.0,6,High End,Modern Series,9.5,0,Premium,1,79.5,73.0,36.8,50.0,50.0,61.8,66.2,74.9,60.0,30.3,63.3,45.5,59.6
HP,HP 15s-eq1580AU (834S2PA) Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD)::615979::computer::laptops,108326,AMD Dual-Core Ryzen 3,Amd,Not Expandable,8 GB ,DDR4 RAM,2.6,LCD,15.6 ,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 7 Hrs Battery Life,HP 15s-eq1580AU (834S2PA) Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),8,0,15.6,512,0,512,65.0,0,Entry Level,Modern Series,7.0,0,Budget,0,35.5,22.0,36.8,25.0,50.0,34.2,25.8,26.0,34.7,76.4,46.7,52.6,36.9
Acer,Acer Predator Helios Neo 16 PHN16-71 (NH.QLTSI.003) Laptop (16 Inch | Core i7 13th Gen | 16 GB | Windows 11 | 1 TB SSD)::611409::computer::laptops,361166,Intel Core i7 (13th Gen) Processor,Intel, 32 GB Expandable,16 GB ,DDR5 RAM,0.0,LCD,16 ,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,230,230W Adapter,Acer Predator Helios Neo 16 PHN16-71 (NH.QLTSI.003) Laptop (16 Inch | Core i7 13th Gen | 16 GB | Windows 11 | 1 TB SSD),16,32,16.0,1024,0,1024,230.0,6,High End,13th Gen,6.0,1,Premium,1,75.0,73.0,30.5,50.0,100.0,70.0,65.4,73.6,71.0,21.3,40.0,31.5,56.1
